framework,dataset,seed,accuracy,precision_macro,recall_macro,f1_macro,runtime_seconds,best_model,models_evaluated
H2O AutoML,breast_cancer,42,0.9298245614035088,0.9195075757575756,0.939484126984127,0.9265700483091788,602.5040124000516,DeepLearning_grid_1_AutoML_1_20260726_204956_model_3,128
H2O AutoML,breast_cancer,123,0.9912280701754386,0.9883720930232558,0.9930555555555556,0.99062114356232,602.0183878000826,StackedEnsemble_BestOfFamily_6_AutoML_2_20260726_210000,116
H2O AutoML,breast_cancer,2026,0.912280701754386,0.9021875,0.925595238095238,0.9088874680306904,598.1022862000391,GBM_3_AutoML_3_20260726_211003,62
PyCaret,breast_cancer,42,0.9824561403508772,0.9811507936507936,0.9811507936507936,0.9811507936507936,4.490111900027841,LogisticRegression,
PyCaret,breast_cancer,123,0.9736842105263158,0.974106247911794,0.9692460317460316,0.9715828832571666,5.586566899903119,LogisticRegression,
PyCaret,breast_cancer,2026,0.9736842105263158,0.974106247911794,0.9692460317460316,0.9715828832571666,6.672980000032112,LogisticRegression,
TPOT,breast_cancer,42,0.9649122807017544,0.9623015873015872,0.9623015873015872,0.9623015873015872,612.8667872999795,"Pipeline(steps=[('stackingestimator',
                 StackingEstimator(estimator=MLPClassifier(alpha=0.01,
                                                           learning_rate_init=1.0,
                                                           random_state=42))),
                ('mlpclassifier',
                 MLPClassifier(alpha=0.001, learning_rate_init=0.01,
                               random_state=42))])",
TPOT,breast_cancer,123,0.9649122807017544,0.9672297297297296,0.95734126984127,0.9619111259605746,602.7837604999077,"Pipeline(steps=[('stackingestimator',
                 StackingEstimator(estimator=BernoulliNB(alpha=100.0))),
                ('sgdclassifier',
                 SGDClassifier(alpha=0.001, eta0=0.01, fit_intercept=False,
                               l1_ratio=0.75, learning_rate='constant',
                               penalty='elasticnet', power_t=50.0,
                               random_state=123))])",
TPOT,breast_cancer,2026,0.9649122807017544,0.9623015873015872,0.9623015873015872,0.9623015873015872,605.5590588999912,"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('zerocount', ZeroCount()),
                ('mlpclassifier', MLPClassifier(random_state=2026))])",
H2O AutoML,titanic,42,0.8244274809160306,0.8136029411764706,0.8159259259259259,0.8147100424328146,590.9800652000122,StackedEnsemble_BestOfFamily_6_AutoML_7_20260726_215010,60
