variable,relative_importance,scaled_importance,percentage
categorical__sex_male,224.17930603027344,1.0,0.2736607103124588
numeric__fare,159.65664672851562,0.7121828038264844,0.19489645196747424
numeric__age,137.49021911621094,0.6133046869974881,0.1678373962816928
categorical__sex_female,122.32259368896484,0.5456462322728676,0.14932193550310985
categorical__pclass_3,61.62447738647461,0.2748892325420651,0.07522638263470821
numeric__sibsp,32.73347091674805,0.14601468572807377,0.03995848261239511
numeric__parch,22.381240844726562,0.09983633744367187,0.027321283019829574
categorical__embarked_C,17.283645629882812,0.077097417847965,0.021098534131530546
categorical__pclass_1,14.947991371154785,0.06667872978934189,0.01824734855688381
categorical__pclass_2,11.639917373657227,0.05192235438575833,0.014209108382301836
categorical__embarked_S,10.122269630432129,0.0451525602861185,0.012356481720325307
categorical__embarked_Q,4.8052568435668945,0.021434881428877235,0.005865884877289877
