Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Decision Tree Classifier,0.8503,0.5356,0.1603,0.1365,0.1474,0.0659,0.0662,18.818
Quadratic Discriminant Analysis,0.437,0.3619,0.5851,0.0491,0.0907,0.0015,0.0134,9.732
Linear Discriminant Analysis,0.9188,0.7448,0.0224,0.4439,0.0426,0.0351,0.0851,10.424
Ada Boost Classifier,0.9192,0.7427,0.0192,0.4838,0.0369,0.0309,0.0835,26.424
K Neighbors Classifier,0.9132,0.5518,0.0178,0.1606,0.0321,0.0162,0.0279,165.514
Gradient Boosting Classifier,0.9195,0.7514,0.0132,0.5554,0.0258,0.0221,0.0764,79.18
SVM - Linear Kernel,0.9094,0.5605,0.021,0.0259,0.0232,0.0092,0.0074,42.308
Naive Bayes,0.9142,0.6033,0.0043,0.0476,0.0078,-0.0028,-0.0053,6.818
Random Forest Classifier,0.9194,0.7118,0.0018,0.8263,0.0036,0.0032,0.0358,33.182
Extra Trees Classifier,0.9193,0.7034,0.0008,0.5257,0.0016,0.0014,0.0179,39.152
Logistic Regression,0.9193,0.6265,0.0,0.0,0.0,0.0,0.0,35.162
Ridge Classifier,0.9193,0.7448,0.0,0.0,0.0,-0.0,-0.0003,6.634
Dummy Classifier,0.9193,0.5,0.0,0.0,0.0,0.0,0.0,4.36
