roc_auc_score,Parents,Variation_Function,Individual,Generation,Submitted Timestamp,Completed Timestamp,Eval Error,Pareto_Front,Instance
,,,<tpot.search_spaces.pipelines.sequential.SequentialPipelineIndividual object at 0x00000227EBAA5CC0>,0.0,1785400770.844765,1785403602.6598866,TIMEOUT,,"Pipeline(steps=[('pipeline-1',
                 Pipeline(steps=[('impute_categorical',
                                  ColumnSimpleImputer(columns=['NAME_CONTRACT_TYPE',
                                                               'CODE_GENDER',
                                                               'FLAG_OWN_CAR',
                                                               'FLAG_OWN_REALTY',
                                                               'NAME_TYPE_SUITE',
                                                               'NAME_INCOME_TYPE',
                                                               'NAME_EDUCATION_TYPE',
                                                               'NAME_FAMILY_STATUS',
                                                               'NAME_HOUSING_TYPE',
                                                               'OCCUPATION_TYPE',
                                                               'WEEKDAY_APPR_PROCESS_START',
                                                               'ORGANIZATION_TYPE',
                                                               'FONDKAPREMONT_MOD...
                                                gamma=0.0153706668713,
                                                grow_policy=None,
                                                importance_type=None,
                                                interaction_constraints=None,
                                                learning_rate=0.0354272416933,
                                                max_bin=None,
                                                max_cat_threshold=None,
                                                max_cat_to_onehot=None,
                                                max_delta_step=None,
                                                max_depth=10, max_leaves=None,
                                                min_child_weight=15,
                                                missing=nan,
                                                monotone_constraints=None,
                                                multi_strategy=None,
                                                n_estimators=100, n_jobs=1,
                                                nthread=1, ...))]))])"
,,,<tpot.search_spaces.pipelines.sequential.SequentialPipelineIndividual object at 0x00000227EBD3B670>,0.0,1785400075.126224,1785400770.7453997,INVALID,,"Pipeline(steps=[('pipeline-1',
                 Pipeline(steps=[('impute_categorical',
                                  ColumnSimpleImputer(columns=['NAME_CONTRACT_TYPE',
                                                               'CODE_GENDER',
                                                               'FLAG_OWN_CAR',
                                                               'FLAG_OWN_REALTY',
                                                               'NAME_TYPE_SUITE',
                                                               'NAME_INCOME_TYPE',
                                                               'NAME_EDUCATION_TYPE',
                                                               'NAME_FAMILY_STATUS',
                                                               'NAME_HOUSING_TYPE',
                                                               'OCCUPATION_TYPE',
                                                               'WEEKDAY_APPR_PROCESS_START',
                                                               'ORGANIZATION_TYPE',
                                                               'FONDKAPREMONT_MOD...
                                                                                                  EstimatorTransformer(cross_val_predict_cv=StratifiedKFold(n_splits=5, random_state=42, shuffle=True),
                                                                                                                       estimator=GaussianNB())),
                                                                                                 ('estimatortransformer-2',
                                                                                                  EstimatorTransformer(cross_val_predict_cv=StratifiedKFold(n_splits=5, random_state=42, shuffle=True),
                                                                                                                       estimator=BernoulliNB(alpha=5.6103719421993,
                                                                                                                                             fit_prior=np.True_)))])),
                                                                 ('passthrough',
                                                                  Passthrough())])),
                                 ('quadraticdiscriminantanalysis',
                                  QuadraticDiscriminantAnalysis(reg_param=0.282659397815))]))])"
,,,<tpot.search_spaces.pipelines.sequential.SequentialPipelineIndividual object at 0x00000227EF493FA0>,0.0,1785399816.6718013,1785400075.0109434,INVALID,,"Pipeline(steps=[('pipeline-1',
                 Pipeline(steps=[('impute_categorical',
                                  ColumnSimpleImputer(columns=['NAME_CONTRACT_TYPE',
                                                               'CODE_GENDER',
                                                               'FLAG_OWN_CAR',
                                                               'FLAG_OWN_REALTY',
                                                               'NAME_TYPE_SUITE',
                                                               'NAME_INCOME_TYPE',
                                                               'NAME_EDUCATION_TYPE',
                                                               'NAME_FAMILY_STATUS',
                                                               'NAME_HOUSING_TYPE',
                                                               'OCCUPATION_TYPE',
                                                               'WEEKDAY_APPR_PROCESS_START',
                                                               'ORGANIZATION_TYPE',
                                                               'FONDKAPREMONT_MOD...
                                                                 ('passthrough',
                                                                  Passthrough())])),
                                 ('featureunion-2',
                                  FeatureUnion(transformer_list=[('skiptransformer',
                                                                  SkipTransformer()),
                                                                 ('passthrough',
                                                                  Passthrough())])),
                                 ('baggingclassifier',
                                  BaggingClassifier(bootstrap=np.True_,
                                                    bootstrap_features=np.True_,
                                                    max_features=0.5779440585941,
                                                    max_samples=0.3482717341774,
                                                    n_estimators=11, n_jobs=1,
                                                    oob_score=np.True_,
                                                    random_state=42))]))])"
0.5664005258341615,,,<tpot.search_spaces.pipelines.sequential.SequentialPipelineIndividual object at 0x00000227EF594250>,,1785541345.5777838,1785541354.81452,,,"Pipeline(steps=[('pipeline-1',
                 Pipeline(steps=[('impute_categorical',
                                  ColumnSimpleImputer(columns=['NAME_CONTRACT_TYPE',
                                                               'CODE_GENDER',
                                                               'FLAG_OWN_CAR',
                                                               'FLAG_OWN_REALTY',
                                                               'NAME_TYPE_SUITE',
                                                               'NAME_INCOME_TYPE',
                                                               'NAME_EDUCATION_TYPE',
                                                               'NAME_FAMILY_STATUS',
                                                               'NAME_HOUSING_TYPE',
                                                               'OCCUPATION_TYPE',
                                                               'WEEKDAY_APPR_PROCESS_START',
                                                               'ORGANIZATION_TYPE',
                                                               'FONDKAPREMONT_MOD...
                          steps=[('normalizer', Normalizer(norm=np.str_('l2'))),
                                 ('variancethreshold',
                                  VarianceThreshold(threshold=0.0031917008133)),
                                 ('featureunion-1',
                                  FeatureUnion(transformer_list=[('skiptransformer',
                                                                  SkipTransformer()),
                                                                 ('passthrough',
                                                                  Passthrough())])),
                                 ('featureunion-2',
                                  FeatureUnion(transformer_list=[('skiptransformer',
                                                                  SkipTransformer()),
                                                                 ('passthrough',
                                                                  Passthrough())])),
                                 ('gaussiannb', GaussianNB())]))])"
,,,<tpot.search_spaces.pipelines.sequential.SequentialPipelineIndividual object at 0x00000227F3978460>,,1785541354.9891164,1785541358.568476,INVALID,,"Pipeline(steps=[('pipeline-1',
                 Pipeline(steps=[('impute_categorical',
                                  ColumnSimpleImputer(columns=['NAME_CONTRACT_TYPE',
                                                               'CODE_GENDER',
                                                               'FLAG_OWN_CAR',
                                                               'FLAG_OWN_REALTY',
                                                               'NAME_TYPE_SUITE',
                                                               'NAME_INCOME_TYPE',
                                                               'NAME_EDUCATION_TYPE',
                                                               'NAME_FAMILY_STATUS',
                                                               'NAME_HOUSING_TYPE',
                                                               'OCCUPATION_TYPE',
                                                               'WEEKDAY_APPR_PROCESS_START',
                                                               'ORGANIZATION_TYPE',
                                                               'FONDKAPREMONT_MOD...
                                                                                                                                                                learning_rate=0.001088055186,
                                                                                                                                                                max_features=0.1823387151199,
                                                                                                                                                                max_leaf_nodes=160,
                                                                                                                                                                min_samples_leaf=180,
                                                                                                                                                                n_iter_no_change=7,
                                                                                                                                                                random_state=42,
                                                                                                                                                                tol=0.0001,
                                                                                                                                                                validation_fraction=None)))])),
                                                                 ('passthrough',
                                                                  Passthrough())])),
                                 ('lgbmclassifier',
                                  LGBMClassifier(boosting_type=np.str_('gbdt'),
                                                 max_depth=4, n_estimators=60,
                                                 n_jobs=1, num_leaves=221,
                                                 random_state=42,
                                                 verbose=-1))]))])"
,,,<tpot.search_spaces.pipelines.sequential.SequentialPipelineIndividual object at 0x00000227F3A64A60>,,1785403605.6001582,1785406896.82331,TIMEOUT,,"Pipeline(steps=[('pipeline-1',
                 Pipeline(steps=[('impute_categorical',
                                  ColumnSimpleImputer(columns=['NAME_CONTRACT_TYPE',
                                                               'CODE_GENDER',
                                                               'FLAG_OWN_CAR',
                                                               'FLAG_OWN_REALTY',
                                                               'NAME_TYPE_SUITE',
                                                               'NAME_INCOME_TYPE',
                                                               'NAME_EDUCATION_TYPE',
                                                               'NAME_FAMILY_STATUS',
                                                               'NAME_HOUSING_TYPE',
                                                               'OCCUPATION_TYPE',
                                                               'WEEKDAY_APPR_PROCESS_START',
                                                               'ORGANIZATION_TYPE',
                                                               'FONDKAPREMONT_MOD...
                                                                                                 ('estimatortransformer-2',
                                                                                                  EstimatorTransformer(cross_val_predict_cv=StratifiedKFold(n_splits=5, random_state=42, shuffle=True),
                                                                                                                       estimator=ExtraTreesClassifier(bootstrap=np.False_,
                                                                                                                                                      criterion=np.str_('entropy'),
                                                                                                                                                      max_features=0.7428379222057,
                                                                                                                                                      min_samples_leaf=10,
                                                                                                                                                      min_samples_split=10,
                                                                                                                                                      n_jobs=1,
                                                                                                                                                      random_state=42)))])),
                                                                 ('passthrough',
                                                                  Passthrough())])),
                                 ('gaussiannb', GaussianNB())]))])"
0.5940571160442946,"(3, 3)",ind_mutate,<tpot.search_spaces.pipelines.sequential.SequentialPipelineIndividual object at 0x00000227EB738B80>,1.0,1785541319.4254436,1785541345.3075917,,1.0,"Pipeline(steps=[('pipeline-1',
                 Pipeline(steps=[('impute_categorical',
                                  ColumnSimpleImputer(columns=['NAME_CONTRACT_TYPE',
                                                               'CODE_GENDER',
                                                               'FLAG_OWN_CAR',
                                                               'FLAG_OWN_REALTY',
                                                               'NAME_TYPE_SUITE',
                                                               'NAME_INCOME_TYPE',
                                                               'NAME_EDUCATION_TYPE',
                                                               'NAME_FAMILY_STATUS',
                                                               'NAME_HOUSING_TYPE',
                                                               'OCCUPATION_TYPE',
                                                               'WEEKDAY_APPR_PROCESS_START',
                                                               'ORGANIZATION_TYPE',
                                                               'FONDKAPREMONT_MOD...
                          steps=[('normalizer', Normalizer(norm=np.str_('l2'))),
                                 ('passthrough', Passthrough()),
                                 ('featureunion-1',
                                  FeatureUnion(transformer_list=[('skiptransformer',
                                                                  SkipTransformer()),
                                                                 ('passthrough',
                                                                  Passthrough())])),
                                 ('featureunion-2',
                                  FeatureUnion(transformer_list=[('skiptransformer',
                                                                  SkipTransformer()),
                                                                 ('passthrough',
                                                                  Passthrough())])),
                                 ('gaussiannb', GaussianNB())]))])"
,"(4, 4)",ind_mutate,<tpot.search_spaces.pipelines.sequential.SequentialPipelineIndividual object at 0x00000227EB738B50>,1.0,1785541006.3720481,1785541319.2253864,INVALID,,"Pipeline(steps=[('pipeline-1',
                 Pipeline(steps=[('impute_categorical',
                                  ColumnSimpleImputer(columns=['NAME_CONTRACT_TYPE',
                                                               'CODE_GENDER',
                                                               'FLAG_OWN_CAR',
                                                               'FLAG_OWN_REALTY',
                                                               'NAME_TYPE_SUITE',
                                                               'NAME_INCOME_TYPE',
                                                               'NAME_EDUCATION_TYPE',
                                                               'NAME_FAMILY_STATUS',
                                                               'NAME_HOUSING_TYPE',
                                                               'OCCUPATION_TYPE',
                                                               'WEEKDAY_APPR_PROCESS_START',
                                                               'ORGANIZATION_TYPE',
                                                               'FONDKAPREMONT_MOD...
                                                                                                                                                                learning_rate=0.001088055186,
                                                                                                                                                                max_features=0.1823387151199,
                                                                                                                                                                max_leaf_nodes=160,
                                                                                                                                                                min_samples_leaf=180,
                                                                                                                                                                n_iter_no_change=7,
                                                                                                                                                                random_state=42,
                                                                                                                                                                tol=0.0001,
                                                                                                                                                                validation_fraction=None)))])),
                                                                 ('passthrough',
                                                                  Passthrough())])),
                                 ('lgbmclassifier',
                                  LGBMClassifier(boosting_type=np.str_('gbdt'),
                                                 max_depth=4, n_estimators=60,
                                                 n_jobs=1, num_leaves=221,
                                                 random_state=42,
                                                 verbose=-1))]))])"
,"(3, 3)",ind_mutate,<tpot.search_spaces.pipelines.sequential.SequentialPipelineIndividual object at 0x00000227EBB13700>,1.0,1785541000.6100028,1785541006.2056336,INVALID,,"Pipeline(steps=[('pipeline-1',
                 Pipeline(steps=[('impute_categorical',
                                  ColumnSimpleImputer(columns=['NAME_CONTRACT_TYPE',
                                                               'CODE_GENDER',
                                                               'FLAG_OWN_CAR',
                                                               'FLAG_OWN_REALTY',
                                                               'NAME_TYPE_SUITE',
                                                               'NAME_INCOME_TYPE',
                                                               'NAME_EDUCATION_TYPE',
                                                               'NAME_FAMILY_STATUS',
                                                               'NAME_HOUSING_TYPE',
                                                               'OCCUPATION_TYPE',
                                                               'WEEKDAY_APPR_PROCESS_START',
                                                               'ORGANIZATION_TYPE',
                                                               'FONDKAPREMONT_MOD...
                                                                  FeatureUnion(transformer_list=[('estimatortransformer',
                                                                                                  EstimatorTransformer(cross_val_predict_cv=StratifiedKFold(n_splits=5, random_state=42, shuffle=True),
                                                                                                                       estimator=LGBMClassifier(boosting_type=np.str_('gbdt'),
                                                                                                                                                max_depth=4,
                                                                                                                                                n_estimators=60,
                                                                                                                                                n_jobs=1,
                                                                                                                                                num_leaves=221,
                                                                                                                                                random_state=42,
                                                                                                                                                verbose=-1)))])),
                                                                 ('passthrough',
                                                                  Passthrough())])),
                                 ('gaussiannb', GaussianNB())]))])"
0.5664005258341615,"(6, 3)",ind_crossover,<tpot.search_spaces.pipelines.sequential.SequentialPipelineIndividual object at 0x00000227F4037F70>,2.0,1785541465.842973,1785541481.844214,,,"Pipeline(steps=[('pipeline-1',
                 Pipeline(steps=[('impute_categorical',
                                  ColumnSimpleImputer(columns=['NAME_CONTRACT_TYPE',
                                                               'CODE_GENDER',
                                                               'FLAG_OWN_CAR',
                                                               'FLAG_OWN_REALTY',
                                                               'NAME_TYPE_SUITE',
                                                               'NAME_INCOME_TYPE',
                                                               'NAME_EDUCATION_TYPE',
                                                               'NAME_FAMILY_STATUS',
                                                               'NAME_HOUSING_TYPE',
                                                               'OCCUPATION_TYPE',
                                                               'WEEKDAY_APPR_PROCESS_START',
                                                               'ORGANIZATION_TYPE',
                                                               'FONDKAPREMONT_MOD...
                          steps=[('normalizer', Normalizer(norm=np.str_('l2'))),
                                 ('variancethreshold',
                                  VarianceThreshold(threshold=0.0003801892929)),
                                 ('featureunion-1',
                                  FeatureUnion(transformer_list=[('skiptransformer',
                                                                  SkipTransformer()),
                                                                 ('passthrough',
                                                                  Passthrough())])),
                                 ('featureunion-2',
                                  FeatureUnion(transformer_list=[('skiptransformer',
                                                                  SkipTransformer()),
                                                                 ('passthrough',
                                                                  Passthrough())])),
                                 ('gaussiannb', GaussianNB())]))])"
