Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Macro F1,TT (Sec)
Logistic Regression,0.978,0.9957,0.986,0.9795,0.9825,0.9529,0.9535,0.9825,0.012
Extra Trees Classifier,0.9714,0.9943,0.9789,0.9757,0.9772,0.939,0.9396,0.9772,0.052
Light Gradient Boosting Machine,0.9648,0.9926,0.9825,0.9625,0.9722,0.9244,0.9255,0.9722,0.126
Extreme Gradient Boosting,0.9648,0.9935,0.9754,0.969,0.972,0.9247,0.9254,0.972,0.036
Ada Boost Classifier,0.9626,0.9837,0.9825,0.9589,0.9705,0.9196,0.9203,0.9705,0.048
Random Forest Classifier,0.9626,0.9896,0.9649,0.9755,0.9699,0.9206,0.9215,0.9699,0.068
Linear Discriminant Analysis,0.9604,0.9917,0.9965,0.9442,0.9695,0.9135,0.9169,0.9695,0.01
Ridge Classifier,0.9604,0.9935,0.993,0.9476,0.9694,0.9135,0.9167,0.9694,0.01
K Neighbors Classifier,0.9604,0.9879,0.9825,0.9561,0.9688,0.9147,0.9163,0.9688,0.038
Quadratic Discriminant Analysis,0.9604,0.9906,0.9719,0.9657,0.9684,0.9154,0.9167,0.9684,0.01
SVM - Linear Kernel,0.9582,0.9931,0.9684,0.9657,0.9668,0.9105,0.9112,0.9668,0.01
Gradient Boosting Classifier,0.9516,0.9917,0.9614,0.9617,0.9614,0.8967,0.8974,0.9614,0.136
Naive Bayes,0.9341,0.9884,0.9544,0.9414,0.9478,0.8584,0.8589,0.9478,0.014
Decision Tree Classifier,0.9165,0.9179,0.9123,0.9528,0.9319,0.824,0.8258,0.9319,0.012
Dummy Classifier,0.6264,0.5,1.0,0.6264,0.7703,0.0,0.0,0.7703,0.008
