Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Macro F1,TT (Sec)
Light Gradient Boosting Machine,0.8176,0.862,0.7325,0.7783,0.7543,0.6095,0.6106,0.7543,0.358
Extreme Gradient Boosting,0.8081,0.854,0.735,0.7572,0.7456,0.5916,0.5921,0.7456,0.026
Gradient Boosting Classifier,0.8157,0.8736,0.685,0.8064,0.7399,0.5986,0.6041,0.7399,0.064
Naive Bayes,0.7889,0.8264,0.745,0.7194,0.7305,0.5574,0.5592,0.7305,0.01
K Neighbors Classifier,0.7966,0.8355,0.705,0.7538,0.7269,0.5653,0.5677,0.7269,0.024
Ridge Classifier,0.7946,0.8422,0.705,0.7469,0.7243,0.561,0.5626,0.7243,0.012
Linear Discriminant Analysis,0.7937,0.8422,0.705,0.7447,0.7233,0.5591,0.5606,0.7233,0.014
Ada Boost Classifier,0.7918,0.852,0.7075,0.7398,0.7223,0.556,0.5573,0.7223,0.042
Logistic Regression,0.7927,0.8432,0.7025,0.745,0.7219,0.5571,0.5588,0.7219,0.012
Random Forest Classifier,0.788,0.8502,0.6975,0.7374,0.7157,0.547,0.5487,0.7157,0.096
Extra Trees Classifier,0.7775,0.8254,0.675,0.7255,0.6989,0.5228,0.5241,0.6989,0.068
Decision Tree Classifier,0.7689,0.7559,0.675,0.7089,0.6906,0.5065,0.5078,0.6906,0.01
SVM - Linear Kernel,0.7346,0.8076,0.685,0.6832,0.6625,0.45,0.4682,0.6625,0.014
Quadratic Discriminant Analysis,0.4851,0.5956,0.4925,0.3718,0.3699,-0.0051,-0.0232,0.3699,0.01
Dummy Classifier,0.618,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.01
