Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,Macro F1,TT (Sec)
Logistic Regression,0.9719,0.0,0.9719,0.9734,0.972,0.9573,0.958,0.0,0.016
K Neighbors Classifier,0.9719,1.0,0.9719,0.9749,0.9714,0.9578,0.9598,0.0,0.036
Naive Bayes,0.9788,0.9971,0.9788,0.981,0.9789,0.9679,0.969,0.0,0.018
Decision Tree Classifier,0.9224,0.9415,0.9224,0.9307,0.9218,0.8827,0.8876,0.0,0.02
SVM - Linear Kernel,0.9788,0.0,0.9788,0.9811,0.9789,0.9678,0.9689,0.0,0.022
Ridge Classifier,0.9788,0.0,0.9788,0.9808,0.9788,0.9678,0.9689,0.0,0.016
Random Forest Classifier,0.9791,0.9977,0.9791,0.9806,0.9791,0.9683,0.969,0.0,0.124
Quadratic Discriminant Analysis,0.9929,0.0,0.9929,0.9935,0.9928,0.9891,0.9895,0.0,0.016
Ada Boost Classifier,0.8433,0.0,0.8433,0.865,0.8278,0.7553,0.7715,0.0,0.086
Gradient Boosting Classifier,0.9158,0.0,0.9158,0.9206,0.9155,0.8719,0.8747,0.0,0.234
Linear Discriminant Analysis,0.9786,0.0,0.9786,0.9805,0.9786,0.9674,0.9685,0.0,0.02
Extra Trees Classifier,0.9931,1.0,0.9931,0.9939,0.9932,0.9896,0.9899,0.0,0.092
Extreme Gradient Boosting,0.9648,0.9976,0.9648,0.9706,0.9651,0.9467,0.9494,0.0,0.048
Light Gradient Boosting Machine,0.965,0.9984,0.965,0.972,0.9658,0.9473,0.9502,0.0,0.218
Dummy Classifier,0.4012,0.5,0.4012,0.1611,0.2299,0.0,0.0,0.0,0.014
