,,accuracy,accuracy,precision_macro,precision_macro,recall_macro,recall_macro,f1_macro,f1_macro,runtime_seconds,runtime_seconds
,,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,framework,,,,,,,,,,
breast_cancer,H2O AutoML,0.9444,0.0415,0.9367,0.0456,0.9527,0.0356,0.942,0.043,600.8749,2.4134
breast_cancer,PyCaret,0.9766,0.0051,0.9765,0.0041,0.9732,0.0069,0.9748,0.0055,5.5832,1.0914
breast_cancer,TPOT,0.9649,0.0,0.9639,0.0028,0.9606,0.0029,0.9622,0.0002,607.0699,5.2085
titanic,H2O AutoML,0.7913,0.0289,0.7802,0.0295,0.7866,0.0276,0.782,0.029,591.8526,2.3543
titanic,PyCaret,0.7901,0.0238,0.7807,0.0263,0.7697,0.0281,0.7735,0.0266,5.9604,0.7857
titanic,TPOT,0.7888,0.0242,0.7779,0.0247,0.7693,0.0301,0.7727,0.0282,626.5462,16.7093
wine,H2O AutoML,0.963,0.016,0.969,0.0093,0.9619,0.0247,0.9631,0.0194,602.0876,0.7049
wine,PyCaret,0.9815,0.016,0.984,0.0139,0.981,0.0172,0.9818,0.0159,6.5006,0.6935
wine,TPOT,0.963,0.016,0.9682,0.0138,0.9651,0.012,0.9647,0.0139,604.4308,4.8834
